Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
Flat (1.85:1),$16.3K,Eliza Hittman,drama,https://www.rottentomatoes.com//m/never_rarely_sometimes_always,Never Rarely Sometimes Always,English,Lia Buman,BBC Films,PG-13 (Language|Disturbing Thematic Content|Mature Thematic Content|Some Sexual References|Teen Drinking),"Apr 3, 2020","Mar 13, 2020",1h 41m,,Eliza Hittman
Flat (1.37:1),,Mark Sandrich,"musical, romance",https://www.rottentomatoes.com//m/top_hat,Top Hat,English,Pandro S. Berman,RKO Radio Pictures Inc.,,"Aug 18, 2008","Sep 6, 1935",1h 39m,Mono,Károly Nóti
,$29.6K,Fritz Lang,"crime, mystery and thriller, drama",https://www.rottentomatoes.com//m/1012928-m,M,German,Seymour Nebenzal,Nero-Film AG,,"Aug 10, 2016","Apr 2, 1933",1h 39m,Mono,Egon Jacobson
Flat (1.85:1),$4.6M,Pedro Almodóvar,drama,https://www.rottentomatoes.com//m/pain_and_glory,Pain and Glory,Spanish (Spain),Agustín Almodóvar,El Deseo,R (Language|Drug Use|Some Graphic Nudity),"Nov 8, 2019","Oct 4, 2019",1h 53m,"SDDS, Dolby Digital, DTS",Pedro Almodóvar
Flat (1.66:1),,Alfred Hitchcock,mystery and thriller,https://www.rottentomatoes.com//m/north-by-northwest,North by Northwest,English,Alfred Hitchcock,Metro Goldwyn Mayer,,"Nov 17, 2009","Jul 17, 1959",2h 16m,Mono,Ernest Lehman
,$96.6M,Steven Spielberg,"drama, history",https://www.rottentomatoes.com//m/schindlers_list,Schindler's List,English,Branko Lustig,"Universal Pictures, Amblin Entertainment",R (Language|Actuality Violence|Some Sexuality),"Mar 5, 2013","Dec 15, 1993",3h 15m,"Dolby Atmos, Stereo, Dolby Digital, DTS, Surround",Steven Zaillian
Flat (1.85:1),$1.2M,Fritz Lang,"drama, sci fi",https://www.rottentomatoes.com//m/1013775-metropolis,Metropolis,,Erich Pommer,Paramount,,"Dec 21, 2016",,2h 3m,"Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Fritz Lang
,$274.1M,Alfonso Cuarón,"mystery and thriller, sci fi, drama",https://www.rottentomatoes.com//m/gravity_2013,Gravity,English,Alfonso Cuarón,"Heyday Films, Esperanto Filmoj",PG-13 (Intense Perilous Sequences|Brief Strong Language|Some Disturbing Images),"Dec 14, 2015","Oct 4, 2013",1h 31m,"SDDS, Datasat, Dolby Atmos",Alfonso Cuarón
,$260.9M,Steven Spielberg,"adventure, horror, mystery and thriller",https://www.rottentomatoes.com//m/jaws,Jaws,English,David Brown,"Universal Pictures, Zanuck/Brown Productions",PG,"Jul 22, 2015","Jun 20, 1975",2h 4m,"Mono, CDS",Howard Sackler
,,George Cukor,romance,https://www.rottentomatoes.com//m/philadelphia_story,The Philadelphia Story,English,Joseph L. Mankiewicz,Metro Goldwyn Mayer,,"Aug 15, 2008",,1h 52m,Mono,Philip Barry
