Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
,$2.0M,Pete Docter,"fantasy, comedy, animation, kids and family",https://www.rottentomatoes.com//m/inside_out_2015,Inside Out,English,Jonas Rivera,"Pixar Animation Studios, Walt Disney Pictures",PG (Some Action|Mild Thematic Elements),"Nov 3, 2015","Jun 19, 2015",1h 35m,"Dolby Atmos, Datasat",Pete Docter
Scope (2.35:1),$175.0M,Jordan Peele,"horror, mystery and thriller",https://www.rottentomatoes.com//m/us_2019,Us,English,Jordan Peele,Monkeypaw Productions,R (Violence/Terror|Language),"Jun 4, 2019","Mar 22, 2019",1h 56m,"Dolby Atmos, DTS",Jordan Peele
Scope (2.35:1),$215.3M,Bradley Cooper,"drama, romance, music",https://www.rottentomatoes.com//m/a_star_is_born_2018,A Star Is Born,English,Bill Gerber,Jon Peters/Bill Gerber/Joint Effort Production,R (Some Sexuality/Nudity|Language Throughout|Substance Abuse),"Jan 15, 2019","Oct 5, 2018",2h 15m,"DTS, SDDS, Dolby Atmos",Eric Roth
Scope (2.35:1),,Alfonso Cuarón,drama,https://www.rottentomatoes.com//m/roma_2018,Roma,Spanish,Alfonso Cuarón,"Esperanto Filmoj, Participant Media",R (Language|Graphic Nudity|Some Disturbing Images),"Dec 15, 2018","Nov 21, 2018",2h 15m,Dolby Atmos,Alfonso Cuarón
Scope (2.35:1),$412.8M,Patty Jenkins,"adventure, fantasy, action",https://www.rottentomatoes.com//m/wonder_woman_2017,Wonder Woman,English,Charles Roven,"Atlas Entertainment, Cruel and Unusual",PG-13 (Sequences of Violence|Action|Some Suggestive Content),"Jul 10, 2017","Jun 2, 2017",2h 21m,"SDDS, Dolby Atmos, DTS",Allan Heinberg
Scope (2.35:1),$22.7M,Olivia Wilde,"gay and lesbian, comedy",https://www.rottentomatoes.com//m/booksmart,Booksmart,English,Megan Ellison,Gloria Sanchez Productions,R (Language Throughout|Drug Use and Drinking|Strong Sexual Content),"Aug 20, 2019","May 24, 2019",1h 42m,,Katie Silberman
Scope (2.35:1),$68.4M,John Krasinski,"horror, mystery and thriller",https://www.rottentomatoes.com//m/a_quiet_place_2018,A Quiet Place,English,Michael Bay,"Sunday Night, Platinum Dunes",PG-13 (Terror and Some Bloody Images),"Jun 26, 2018","Apr 6, 2018",1h 30m,"Dolby Atmos, Dolby Digital, DTS, SDDS",Bryan Woods
,,Robert Wiene,horror,https://www.rottentomatoes.com//m/the_cabinet_of_dr_caligari,The Cabinet of Dr. Caligari,,Rudolf Meinert,Decla-Bioscop AG,,"Mar 22, 2016","Mar 19, 1921",1h 9m,,Hans Janowitz
Scope (2.35:1),$188.0M,Christopher Nolan,"drama, history, war",https://www.rottentomatoes.com//m/dunkirk_2017,Dunkirk,English,Emma Thomas,"IMAX Corporation, Warner Bros. Pictures",PG-13 (Some Language|Intense War Experience),"Dec 12, 2017","Jul 21, 2017",1h 47m,"Dolby Digital, Datasat, Dolby Atmos",Christopher Nolan
Flat (1.85:1),$13.5M,Bo Burnham,"drama, comedy",https://www.rottentomatoes.com//m/eighth_grade,Eighth Grade,English,Scott Rudin,A24,R (Some Sexual Material|Language),"Sep 25, 2018","Aug 3, 2018",1h 33m,,Bo Burnham
